dateissue,Value
14000707,1436984.3
14000710,1473476
14000711,1476680.3
14000712,1484652.8
14000714,1488264.5
14000717,1466031.4
14000718,1455612
14000719,1457493.6
14000720,1418683
14000721,1397386.1
14000724,1437465.5
14000725,1436109.9
14000726,1436916.8
14000727,1449496.9
14000728,1436357.1
14000801,1407758
14000803,1384133.5
14000804,1384452.2
14000805,1393960.8
14000808,1375669.2
14000809,1340290.8
14000810,1361414.8
14000811,1376091.9
14000812,1398416.5
14000815,1440651.5
14000816,1430892.2
14000817,1434378.9
14000818,1447674.8
14000819,1456479.9
14000822,1439244.4
14000823,1442515.7
14000824,1416298.7
14000825,1408595.7
14000826,1410778.6
14000829,1383491.9
14000830,1386935.3
14000901,1407132.9
14000902,1404551.7
14000903,1394105.7
14000906,1366713.9
14000907,1368005.2
14000908,1363939
14000909,1357128.9
14000910,1340071.9
14000913,1334765.9
14000914,1343202.7
14000915,1342353.6
14000916,1338016
14000917,1349389.3
14000920,1344441.6
14000921,1320776.7
14000922,1295550.1
14000923,1291839.4
14000924,1293237.9
14000927,1305535.5
14000928,1291675.8
14000929,1301542.3
14000930,1318359.7
14001001,1359024.5
14001004,1385504.6
14001005,1383987.9
14001006,1400314.6
14001007,1399910.9
14001008,1397311.4
14001011,1378777.4
14001012,1379041.1
14001013,1376049.3
14001014,1362828.6
14001015,1363095.8
14001018,1362458
14001019,1336820.7
14001020,1332755.6
14001021,1334703.5
14001022,1334265
14001025,1322569.8
14001026,1310804.5
14001027,1306472.1
14001028,1275966.4
14001029,1279393.9
14001102,1281801
14001103,1256512.8
14001104,1234707.7
14001105,1207926.7
14001106,1229368.4
14001109,1258995.1
14001110,1284647.4
14001111,1294619.1
14001112,1301234
14001113,1301161.5
14001116,1304411.1
14001117,1282050
14001118,1274467.5
14001119,1281075.4
14001120,1284160.1
14001123,1284061.7
14001124,1275996.2
14001125,1283324.2
14001127,1282411.4
14001130,1282190.8
14001201,1274304.7
14001202,1281589.4
14001203,1284876.1
14001204,1288310.3
14001207,1282870.8
14001208,1279292.7
14001209,1281934.2
14001211,1281190.8
14001214,1298782.7
14001215,1322598.5
14001216,1342906.7
14001217,1336569.2
14001218,1348303.3
14001221,1332933.3
14001222,1335376.4
14001223,1334776.9
14001224,1337223.2
14001225,1345018.2
14001228,1367250.3
14010106,1390859.7
14010107,1403617.9
14010108,1418651.9
14010109,1414249.5
14010110,1432106.5
14010114,1462003
14010115,1468820.1
14010116,1471438.4
14010117,1463779.7
14010120,1458772.7
14010121,1474113
14010122,1479493
14010123,1446026.9
14010124,1454129.3
14010127,1467644.8
14010128,1475058.6
14010129,1501842.6
14010130,1513105.7
14010131,1512219.1
14010204,1504715.6
14010205,1507249.3
14010206,1522868.2
14010207,1521423.3
14010210,1522439.4
14010211,1523471.2
14010212,1529717.5
14010217,1543847.5
14010218,1553041.8
14010219,1540099.2
14010220,1539530.7
14010221,1564449.1
14010224,1578410.9
14010225,1572979.8
14010226,1583800.5
14010227,1606024.3
14010228,1594977.7
14010231,1579686.7
14010301,1582222.7
14010302,1557210.6
14010303,1555689
14010304,1564487.5
14010307,1553401.9
14010308,1534057.1
14010309,1537380.3
14010310,1542711.1
14010311,1541980
14010316,1514310
14010317,1515387.7
14010318,1520298.7
14010321,1518289.8
14010322,1532387.2
14010323,1571445.2
14010324,1574065.3
14010325,1564334
14010328,1547738.5
14010329,1545962.9
14010330,1547247.2
14010331,1539632.2
14010401,1533393.9
14010404,1520334.9
14010405,1501340
14010406,1504065.4
14010407,1514434.5
14010408,1513715.5
14010411,1501631.9
14010412,1502986.2
14010413,1507156.8
14010414,1511075.5
14010415,1502603.8
14010418,1498512.7
14010420,1487597.8
14010421,1483534.7
14010422,1490051.8
14010425,1480051.2
14010426,1469832.5
14010428,1468893.1
14010429,1471898.2
14010501,1473499.1
14010502,1463758.4
14010503,1439416.8
14010504,1438448.4
14010505,1443712.6
14010508,1440855.3
14010509,1423496.7
14010510,1427605.6
14010511,1430021
